"season","date","gameId","team","iceSit","playerId","position","period","periodType","start","end"
20152016,20160311,21007,"car","away",8477488,"d",4,"overtime",89,90
20152016,20160311,21007,"bos","home",8468639,"d",3,"regular",567,568
20152016,20160311,21007,"car","away",8476858,"lw",2,"regular",803,804
20152016,20160311,21007,"car","away",8476944,"lw",2,"regular",950,952
20152016,20160311,21007,"car","away",8476465,"d",3,"regular",817,821
20152016,20160311,21007,"bos","home",8475792,"rw",3,"regular",976,981
20152016,20160311,21007,"bos","home",8475157,"c",3,"regular",976,981
20152016,20160311,21007,"car","away",8474052,"lw",2,"regular",825,831
20152016,20160311,21007,"car","away",8476858,"lw",2,"regular",825,831
20152016,20160311,21007,"car","away",8474062,"c",2,"regular",825,831
20152016,20160311,21007,"bos","home",8469619,"d",2,"regular",825,831
20152016,20160311,21007,"bos","home",8476476,"d",2,"regular",825,831
20152016,20160311,21007,"car","away",8475784,"lw",3,"regular",1138,1144
20152016,20160311,21007,"car","away",8475784,"lw",4,"overtime",83,90
20152016,20160311,21007,"car","away",8474062,"c",3,"regular",362,369
20152016,20160311,21007,"bos","home",8471276,"c",1,"regular",719,726
20152016,20160311,21007,"bos","home",8470626,"rw",1,"regular",719,726
20152016,20160311,21007,"bos","home",8474625,"rw",1,"regular",1193,1200
20152016,20160311,21007,"bos","home",8473492,"lw",1,"regular",1193,1200
20152016,20160311,21007,"bos","home",8475727,"c",1,"regular",1193,1200
20152016,20160311,21007,"bos","home",8474625,"rw",3,"regular",310,318
20152016,20160311,21007,"bos","home",8475727,"c",3,"regular",310,318
20152016,20160311,21007,"car","away",8474661,"d",3,"regular",354,362
20152016,20160311,21007,"car","away",8476858,"lw",3,"regular",354,362
20152016,20160311,21007,"car","away",8476465,"d",3,"regular",354,362
20152016,20160311,21007,"bos","home",8476792,"d",3,"regular",688,696
20152016,20160311,21007,"car","away",8469508,"c",2,"regular",943,952
20152016,20160311,21007,"bos","home",8477956,"rw",2,"regular",241,252
20152016,20160311,21007,"bos","home",8470626,"rw",2,"regular",241,252
20152016,20160311,21007,"car","away",8476944,"lw",3,"regular",307,318
20152016,20160311,21007,"car","away",8477496,"c",2,"regular",952,963
20152016,20160311,21007,"car","away",8475807,"lw",2,"regular",952,963
20152016,20160311,21007,"car","away",8473533,"c",2,"regular",952,963
20152016,20160311,21007,"bos","home",8473492,"lw",3,"regular",306,318
20152016,20160311,21007,"bos","home",8468639,"d",1,"regular",686,698
20152016,20160311,21007,"bos","home",8465009,"d",1,"regular",686,698
20152016,20160311,21007,"car","away",8476858,"lw",4,"overtime",76,90
20152016,20160311,21007,"car","away",8474089,"c",3,"regular",436,450
20152016,20160311,21007,"car","away",8476944,"lw",3,"regular",436,450
20152016,20160311,21007,"car","away",8469508,"c",3,"regular",436,450
20152016,20160311,21007,"bos","home",8475792,"rw",3,"regular",436,450
20152016,20160311,21007,"bos","home",8475157,"c",3,"regular",436,450
20152016,20160311,21007,"bos","home",8478569,"c",3,"regular",436,450
20152016,20160311,21007,"car","away",8475784,"lw",2,"regular",1029,1043
20152016,20160311,21007,"car","away",8475807,"lw",2,"regular",280,295
20152016,20160311,21007,"car","away",8473533,"c",2,"regular",280,295
20152016,20160311,21007,"bos","home",8474625,"rw",2,"regular",681,696
20152016,20160311,21007,"bos","home",8476476,"d",2,"regular",681,696
20152016,20160311,21007,"car","away",8477496,"c",3,"regular",1159,1174
20152016,20160311,21007,"car","away",8474089,"c",1,"regular",1185,1200
20152016,20160311,21007,"car","away",8469508,"c",1,"regular",1185,1200
20152016,20160311,21007,"car","away",8475807,"lw",1,"regular",1185,1200
20152016,20160311,21007,"bos","home",8471276,"c",2,"regular",236,252
20152016,20160311,21007,"bos","home",8469619,"d",3,"regular",965,981
20152016,20160311,21007,"bos","home",8476476,"d",3,"regular",965,981
20152016,20160311,21007,"bos","home",8475727,"c",3,"regular",965,981
20152016,20160311,21007,"bos","home",8465009,"d",1,"regular",1184,1200
20152016,20160311,21007,"car","away",8474089,"c",1,"regular",108,125
20152016,20160311,21007,"car","away",8477488,"d",2,"regular",313,330
20152016,20160311,21007,"car","away",8475784,"lw",2,"regular",313,330
20152016,20160311,21007,"car","away",8478396,"d",2,"regular",313,330
20152016,20160311,21007,"car","away",8476858,"lw",2,"regular",313,330
20152016,20160311,21007,"car","away",8476437,"c",2,"regular",313,330
20152016,20160311,21007,"bos","home",8474625,"rw",2,"regular",313,330
20152016,20160311,21007,"bos","home",8468639,"d",2,"regular",313,330
20152016,20160311,21007,"bos","home",8473492,"lw",2,"regular",313,330
20152016,20160311,21007,"bos","home",8465009,"d",2,"regular",313,330
20152016,20160311,21007,"bos","home",8465009,"d",3,"regular",804,821
20152016,20160311,21007,"car","away",8474089,"c",2,"regular",963,980
20152016,20160311,21007,"bos","home",8471717,"d",2,"regular",1183,1200
20152016,20160311,21007,"car","away",8476958,"d",2,"regular",1183,1200
20152016,20160311,21007,"car","away",8468493,"d",2,"regular",1183,1200
20152016,20160311,21007,"car","away",8476958,"d",3,"regular",292,310
20152016,20160311,21007,"car","away",8468493,"d",3,"regular",292,310
20152016,20160311,21007,"car","away",8477496,"c",2,"regular",295,313
20152016,20160311,21007,"car","away",8469508,"c",2,"regular",295,313
20152016,20160311,21007,"bos","home",8471717,"d",3,"regular",300,318
20152016,20160311,21007,"bos","home",8476792,"d",3,"regular",300,318
20152016,20160311,21007,"bos","home",8470740,"rw",1,"regular",532,550
20152016,20160311,21007,"car","away",8475807,"lw",2,"regular",95,114
20152016,20160311,21007,"car","away",8474089,"c",2,"regular",114,133
20152016,20160311,21007,"car","away",8469508,"c",2,"regular",114,133
20152016,20160311,21007,"car","away",8474661,"d",2,"regular",114,133
20152016,20160311,21007,"car","away",8475807,"lw",2,"regular",133,152
20152016,20160311,21007,"car","away",8473533,"c",2,"regular",133,152
20152016,20160311,21007,"car","away",8469508,"c",3,"regular",696,715
20152016,20160311,21007,"car","away",8475807,"lw",3,"regular",696,715
20152016,20160311,21007,"car","away",8476437,"c",2,"regular",1024,1043
20152016,20160311,21007,"car","away",8475807,"lw",3,"regular",1086,1105
20152016,20160311,21007,"bos","home",8473419,"lw",1,"regular",939,959
20152016,20160311,21007,"car","away",8475784,"lw",1,"regular",939,959
20152016,20160311,21007,"car","away",8476858,"lw",1,"regular",939,959
20152016,20160311,21007,"car","away",8473533,"c",3,"regular",1072,1092
20152016,20160311,21007,"bos","home",8471276,"c",3,"regular",1102,1122
20152016,20160311,21007,"bos","home",8477956,"rw",3,"regular",1102,1122
20152016,20160311,21007,"bos","home",8468639,"d",3,"regular",1102,1122
20152016,20160311,21007,"bos","home",8465009,"d",3,"regular",1102,1122
20152016,20160311,21007,"car","away",8477496,"c",2,"regular",157,178
20152016,20160311,21007,"car","away",8477488,"d",3,"regular",800,821
20152016,20160311,21007,"car","away",8474062,"c",3,"regular",800,821
20152016,20160311,21007,"car","away",8471804,"lw",2,"regular",804,825
20152016,20160311,21007,"car","away",8476858,"lw",2,"regular",886,907
20152016,20160311,21007,"car","away",8473533,"c",2,"regular",1003,1024
20152016,20160311,21007,"bos","home",8468639,"d",2,"regular",1162,1183
20152016,20160311,21007,"car","away",8475784,"lw",2,"regular",803,825
20152016,20160311,21007,"car","away",8476437,"c",2,"regular",803,825
20152016,20160311,21007,"car","away",8476437,"c",3,"regular",1122,1144
20152016,20160311,21007,"bos","home",8470638,"c",1,"regular",396,419
20152016,20160311,21007,"bos","home",8473492,"lw",2,"regular",673,696
20152016,20160311,21007,"bos","home",8475727,"c",2,"regular",673,696
20152016,20160311,21007,"car","away",8474661,"d",3,"regular",958,981
20152016,20160311,21007,"car","away",8476465,"d",3,"regular",958,981
20152016,20160311,21007,"car","away",8477496,"c",3,"regular",1076,1099
20152016,20160311,21007,"car","away",8474089,"c",3,"regular",1099,1122
20152016,20160311,21007,"bos","home",8476792,"d",2,"regular",1066,1090
20152016,20160311,21007,"car","away",8476858,"lw",3,"regular",369,394
20152016,20160311,21007,"car","away",8477488,"d",1,"regular",891,916
20152016,20160311,21007,"bos","home",8473419,"lw",1,"regular",1010,1035
20152016,20160311,21007,"bos","home",8470740,"rw",1,"regular",1010,1035
20152016,20160311,21007,"bos","home",8470638,"c",1,"regular",1010,1035
